City,Brand,Model,ProdYear,BanType,Color,EngVol,EngPow,FuelType,RideDist,Gearbox,Transmission,Price,Credit,Barter,YungulLehimliDiskler,ABS,Lyuk,RainSensor,MerkeziQapanma,ParKRadar,Condisioner,SeatHeat,LeatherSalon,KsenonLamps,BackVisionCam,YanPerdeler,SeatVentilation
Cəlilabad,Audi,A6,2015,Sedan,Qara,2.0,252,Benzin,95000,Avtomat,Ön,45050.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A6,2018,Sedan,Göy,2.0,252,Benzin,78000,Avtomat,Tam,62050.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Bakı,Audi,A6,2000,Sedan,Göy,2.4,170,Benzin,270000,Avtomat,Ön,9500.0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A7,2011,Hetçbek / Liftbek,Yaş Asfalt,3.0,300,Benzin,81000,Avtomat,Tam,51000.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A5,2013,Sedan,Qara,2.0,211,Benzin,117000,Avtomat,Tam,33490.0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Bakı,Audi,A6,2012,Sedan,Ağ,2.8,204,Benzin,182000,Avtomat,Tam,36550.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A7,2015,Hetçbek / Liftbek,Qara,3.0,333,Benzin,79500,Avtomat,Tam,67660.0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
Şamaxı,Audi,Q7,2010,Offroader / SUV,Ağ,3.0,272,Benzin,95000,Avtomat,Tam,49300.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A4,2003,Sedan,Qara,1.8,170,Benzin,273458,Avtomat,Tam,7000.0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0
Bakı,Audi,Q7,2014,Offroader / SUV,Qara,3.0,333,Benzin,85000,Avtomat,Tam,60350.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,Q7,2007,Offroader / SUV,Qara,4.2,350,Benzin,226000,Avtomat,Tam,19500.0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A5,2011,Sedan,Boz,3.2,265,Benzin,176000,Avtomat,Tam,29750.0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1
Bakı,Audi,Q7,2010,Offroader / SUV,Ağ,4.2,340,Benzin,148500,Avtomat,Tam,43350.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Gəncə,Audi,A4,1996,Sedan,Yaşıl,1.8,170,Benzin,222222,Avtomat,Tam,5800.0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
Bakı,Audi,Q7,2016,Offroader / SUV,Boz,2.0,252,Benzin,136500,Avtomat,Tam,70550.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A8,2021,Sedan,Qara,3.0,340,Benzin,0,Avtomat,Tam,198995.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakı,Audi,Q7,2007,Offroader / SUV,Qara,3.0,233,Dizel,158200,Avtomat,Tam,32500.0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0
Sumqayıt,Audi,Q7,2013,Offroader / SUV,Qara,3.0,333,Benzin,252500,Avtomat,Tam,43350.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,Q7,2017,Offroader / SUV,Qara,2.0,252,Benzin,91100,Avtomat,Tam,79050.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,Q7,2012,Offroader / SUV,Ağ,3.0,272,Benzin,138346,Avtomat,Tam,45560.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Gəncə,Audi,A6,1998,Sedan,Bənövşəyi,2.4,165,Benzin,362541,Avtomat,Arxa,8450.0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1
Bakı,Audi,Q7,2006,Offroader / SUV,Ağ,4.2,350,Benzin,250000,Avtomat,Tam,22000.0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0
Bakı,Audi,A6,2009,Sedan,Qara,2.8,220,Benzin,240000,Avtomat,Ön,19000.0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0
Sumqayıt,Audi,A5,2013,Kupe,Ağ,2.0,211,Benzin,92269,Avtomat,Tam,22500.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Bakı,Audi,A6,2007,Sedan,Qara,2.4,178,Benzin,190000,Avtomat,Ön,16600.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A5,2013,Sedan,Ağ,2.0,225,Benzin,146000,Avtomat,Ön,33660.0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Gəncə,Audi,Q7,2007,Offroader / SUV,Boz,4.2,350,Benzin,170000,Avtomat,Tam,22000.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Bakı,Audi,A6,1999,Sedan,Qara,2.7,230,Benzin,200000,Avtomat,Tam,8200.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,Q7,2014,Offroader / SUV,Ağ,3.0,333,Benzin,128000,Avtomat,Tam,51000.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,Q7,2013,Offroader / SUV,Qara,3.0,333,Benzin,82000,Avtomat,Tam,48450.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A5,2012,Hetçbek / Liftbek,Qara,2.0,211,Benzin,158000,Robotlaşdırılmış,Tam,30600.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Bakı,Audi,A6,1997,Sedan,Gümüşü,2.4,165,Benzin,300000,Avtomat,Ön,7000.0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0
Bakı,Audi,A5,2013,Sedan,Ağ,2.0,211,Benzin,115000,Avtomat,Tam,35700.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A8,2002,Sedan,Gümüşü,2.8,193,Benzin,200000,Avtomat,Tam,12000.0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0
Bakı,Audi,Q7,2017,Offroader / SUV,Göy,2.0,252,Benzin,52480,Avtomat,Tam,75480.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A6,2017,Sedan,Ağ,2.0,252,Benzin,71000,Avtomat,Ön,61880.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,Q7,2019,Offroader / SUV,Boz,2.0,252,Benzin,26800,Avtomat,Tam,104550.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Bakı,Audi,A4,2001,Sedan,Ağ,1.8,160,Benzin,111111,Avtomat,Ön,7500.0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1
Bakı,Audi,Q7,2007,Offroader / SUV,Qara,4.2,350,Benzin,203559,Avtomat,Tam,20700.0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0
Bakı,Audi,A7,2015,Hetçbek / Liftbek,Qara,2.0,249,Benzin,110000,Avtomat,Ön,60350.0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
Bakı,Audi,A6,2015,Sedan,Qara,2.0,242,Benzin,55400,Avtomat,Ön,45730.0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Bakı,Audi,A4,2003,Sedan,Göy,1.8,190,Benzin,230000,Avtomat,Tam,8300.0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0
Gəncə,Audi,A8,2006,Sedan,Ağ,3.2,260,Benzin,215000,Avtomat,Tam,23500.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A6,2015,Sedan,Ağ,2.0,249,Benzin,70000,Avtomat,Tam,46750.0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
Bakı,Audi,A8,2012,Sedan,Qara,4.0,420,Benzin,113000,Avtomat,Tam,55250.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A6,2015,Sedan,Qara,2.0,252,Benzin,142000,Avtomat,Ön,40460.0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0
Bakı,Audi,A6,1999,Sedan,Gümüşü,2.5,180,Dizel,395000,Avtomat,Ön,7500.0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0
Bakı,Audi,A6,2012,Sedan,Gümüşü,2.0,252,Benzin,156431,Avtomat,Ön,47090.0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
Bakı,Audi,Q7,2007,Offroader / SUV,Göy,3.6,280,Benzin,220000,Avtomat,Tam,25500.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
